rb_name,left_end,left_tackle,left_guard,right_guard,right_tackle,right_end
A.Jones,23.92638036809816,16.56441717791411,6.748466257668712,13.496932515337424,14.11042944785276,25.153374233128833
A.Peterson,13.291139240506327,12.025316455696203,19.62025316455696,18.354430379746837,17.72151898734177,18.9873417721519
A.Mattison,21.176470588235293,25.882352941176475,22.35294117647059,4.705882352941177,18.823529411764707,7.0588235294117645
A.Kamara,20.833333333333336,19.444444444444446,22.22222222222222,18.75,11.11111111111111,7.638888888888889
A.Abdullah,17.647058823529413,35.294117647058826,17.647058823529413,5.88235294117647,0,23.52941176470588
A.Ekeler,29.245283018867923,13.20754716981132,10.377358490566039,9.433962264150944,15.09433962264151,22.641509433962266
B.Snell,15.789473684210526,21.052631578947366,21.052631578947366,5.263157894736842,21.052631578947366,15.789473684210526
B.Bolden,40.0,20.0,10.0,20.0,0,10.0
C.Anderson,33.33333333333333,0,66.66666666666666,0,0,0
C.Prosise,6.25,6.25,37.5,37.5,0,12.5
C.Hyde,8.974358974358974,16.025641025641026,23.076923076923077,26.923076923076923,14.743589743589745,10.256410256410255
C.Edmonds,37.5,6.25,20.833333333333336,10.416666666666668,8.333333333333332,16.666666666666664
C.Carson,15.346534653465346,14.85148514851485,18.316831683168317,20.792079207920793,22.277227722772277,8.415841584158416
C.Thompson,18.181818181818183,12.121212121212121,12.121212121212121,9.090909090909092,9.090909090909092,39.39393939393939
C.McCaffrey,12.060301507537687,15.577889447236181,17.587939698492463,22.613065326633166,22.613065326633166,9.547738693467336
D.Johnson,9.090909090909092,13.636363636363635,24.242424242424242,25.757575757575758,15.151515151515152,12.121212121212121
D.Cook,25.0,22.058823529411764,8.333333333333332,6.862745098039216,16.176470588235293,21.568627450980394
D.Williams,0,0,0,0,0,0
D.Henderson,12.121212121212121,21.21212121212121,9.090909090909092,18.181818181818183,21.21212121212121,18.181818181818183
D.Sproles,58.333333333333336,25.0,8.333333333333332,0,0,8.333333333333332
D.Thompson,26.923076923076923,19.230769230769234,11.538461538461538,19.230769230769234,0,23.076923076923077
D.Johnson,9.090909090909092,13.636363636363635,24.242424242424242,25.757575757575758,15.151515151515152,12.121212121212121
D.Montgomery,9.268292682926829,20.48780487804878,22.439024390243905,24.390243902439025,15.121951219512194,8.292682926829269
D.Washington,12.345679012345679,23.456790123456788,20.98765432098765,11.11111111111111,23.456790123456788,8.641975308641975
D.Henry,15.74074074074074,19.90740740740741,16.203703703703702,19.444444444444446,14.351851851851851,14.351851851851851
D.Guice,23.333333333333332,16.666666666666664,10.0,10.0,13.333333333333334,26.666666666666668
D.Singletary,9.322033898305085,24.576271186440678,24.576271186440678,20.33898305084746,18.64406779661017,2.5423728813559325
D.Freeman,17.105263157894736,23.026315789473685,19.078947368421055,13.157894736842104,17.105263157894736,10.526315789473683
D.Lewis,14.705882352941178,20.588235294117645,20.588235294117645,20.588235294117645,11.76470588235294,11.76470588235294
D.Hilliard,28.57142857142857,28.57142857142857,14.285714285714285,0,0,28.57142857142857
D.Johnson,9.090909090909092,13.636363636363635,24.242424242424242,25.757575757575758,15.151515151515152,12.121212121212121
E.Penny,44.44444444444444,11.11111111111111,11.11111111111111,11.11111111111111,0,22.22222222222222
E.Elliott,9.401709401709402,24.786324786324787,18.803418803418804,18.37606837606838,16.666666666666664,11.965811965811966
F.Gore,7.6923076923076925,12.5,21.153846153846153,31.73076923076923,20.192307692307693,6.730769230769231
G.Bernard,9.523809523809524,14.285714285714285,19.047619047619047,28.57142857142857,16.666666666666664,11.904761904761903
G.Edwards,1.8867924528301887,7.547169811320755,32.075471698113205,40.56603773584906,16.037735849056602,1.8867924528301887
I.Smith,6.666666666666667,46.666666666666664,33.33333333333333,0,0,13.333333333333334
J.McKissic,25.0,14.285714285714285,14.285714285714285,7.142857142857142,17.857142857142858,21.428571428571427
J.Richard,22.22222222222222,18.51851851851852,18.51851851851852,11.11111111111111,14.814814814814813,14.814814814814813
J.Williams,20.8955223880597,11.940298507462686,7.462686567164178,29.850746268656714,14.925373134328357,14.925373134328357
J.Conner,12.82051282051282,14.102564102564102,19.230769230769234,23.076923076923077,17.94871794871795,12.82051282051282
J.White,16.0,6.0,14.000000000000002,30.0,18.0,16.0
J.Samuels,6.976744186046512,20.930232558139537,39.53488372093023,11.627906976744185,11.627906976744185,9.30232558139535
J.Wilson,16.666666666666664,5.555555555555555,16.666666666666664,0,0,61.111111111111114
J.Mixon,10.0,13.636363636363635,22.727272727272727,27.727272727272727,15.0,10.909090909090908
J.Howard,16.216216216216218,20.27027027027027,22.972972972972975,10.81081081081081,17.56756756756757,12.162162162162163
J.Wilkins,26.47058823529412,8.823529411764707,20.588235294117645,14.705882352941178,11.76470588235294,17.647058823529413
J.Jacobs,17.02127659574468,15.425531914893616,20.212765957446805,14.893617021276595,21.27659574468085,11.170212765957446
J.Hill,14.893617021276595,14.893617021276595,12.76595744680851,27.659574468085108,23.404255319148938,6.382978723404255
J.Jackson,37.03703703703704,18.51851851851852,7.4074074074074066,25.925925925925924,0,11.11111111111111
K.Ballage,9.615384615384617,17.307692307692307,13.461538461538462,26.923076923076923,19.230769230769234,13.461538461538462
K.Drake,24.46808510638298,13.829787234042554,14.893617021276595,11.702127659574469,14.893617021276595,20.212765957446805
K.Johnson,8.19672131147541,29.508196721311474,6.557377049180328,9.836065573770492,27.86885245901639,18.0327868852459
L.Murray,3.1746031746031744,16.666666666666664,26.190476190476193,26.984126984126984,20.634920634920633,6.349206349206349
